product_category,pdt_SUB_CATEGORY
GAZEIFIES,TONICS & BITTER
APERITIFS,VINS DE LIQUEUR
VQPRD ROSES,BORDEAUX
NON GAZEIFIES,MELANGES DE FRUITS
VQPRD ROSES,COTES DU RHONE
MOUSSEUX/VINS PETILL.,MOUSSEUX - CUVE CLOSE
BIERES ET PANACHES,BIERES S/ALCOOL ET ALLEGEES
EAUX GAZEUSES,EAUX GAZEUSES ET GAZEIFIEES
CHAMPAGNES,MILLESIME ET CUVEE SPECIALE
APERITIFS,GUIGNOLET / AUTRE BASE FRUIT
VQPRD ROSES,LANGUEDOC ROUSSILLON
BIERES ET PANACHES,BIERES DE DEGUSTATION
SIROPS,AGRUMES
APERITIFS,VINS DOUX NATURELS
VQPRD BLANCS,SAVOIE JURA
BIERES ET PANACHES,BIERES MODERNES
SIROPS,BOISSON A RECONSTITUER
ALCOOLS,WHISKIES BLENDED-12ANS
ALCOOLS,WHISKIES BLENDED + 12ANS
MOUSSEUX/VINS PETILL.,APPELATION-METHODE TRADITION
EAUX AROMATISEES,EAUX ARO GAZEUSE ET GAZEIFIEE
ALCOOLS,WHISKIES AMERICAINS
VQPRD BLANCS,LANGUEDOC-ROUSSILLON
VINS DE TABLES/PAYS,VINS DE TABLE BLANCS
CHAMPAGNES,CHAMPAGNES ROSES
APERITIFS,CREMES DE FRUITS
VQPRD BORDEAUX ROUGES,COTES DE BORDEAUX
BIERES ET PANACHES,PANACHES
VQPRD BLANCS,BOURGOGNE
VQPRD BLANCS,SUD OUEST
BIERES ET PANACHES,BIERES FUTS
ALCOOLS,WHISKIES PUR MALT
VINS DE TABLES/PAYS,VINS DE PAYS ROSES
GAZEIFIES,A BASE DE THE
BIERES ET PANACHES,BIERES DE LUXE
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE
NON GAZEIFIES,BOISSON AUX FRUIT ET PLANTE
CHAMPAGNES,CHAMPAGNES SECS - DEMI-SECS
VQPRD ROUGES/HORS BORDEAUX,VIN DU LANGUEDOC ROUSSILLON
NON GAZEIFIES,DIETETIQUE ET JUS DE LEGUMES
VQPRD ROSES,BEAUJOLAIS BOURGOGNE
SIROPS,A BASE DE PLANTE
VQPRD ROUGES/HORS BORDEAUX,VINS DE BOURGOGNE
ALCOOLS,PUNCHS
ALCOOLS,COCKTAILS
DIGESTIFS,EAUX DE VIE
EAUX PLATES,EAUX PLATES
GAZEIFIES,LIMONADES ET LIMES
VQPRD ROUGES/HORS BORDEAUX,VINS DU BEAUJOLAIS
BIERES ET PANACHES,BIERES BOITES
REMBOURSEMENT LIQUIDE,REMBOURSEMENT LIQUIDE
SNACKING SOFTS DRINKS,SNACKING SOFTS DRINKS
NON GAZEIFIES,JUS DE POMME ET DE RAISIN
NON GAZEIFIES,BOISSONS CHOCOLATEES
VQPRD BORDEAUX ROUGES,APPELLATIONS VILLAGES
BIERES ET PANACHES,BIERES SPECIALES
ALCOOLS,GIN-VODKA-TEQUILA
VQPRD ROSES,ALSACE
VQPRD ROSES,SUD OUEST
NON GAZEIFIES,AUTRES MONO FRUITS
VQPRD BLANCS,BORDEAUX SECS
NON GAZEIFIES,BOISSONS ENERGISANTES
VQPRD ROUGES/HORS BORDEAUX,VINS DE PROVENCE-CORSE
NON GAZEIFIES,PAMPLEMOUSSE ET AGRUMES
VQPRD BLANCS,VQPRD BLANC PROVENCE-CORSE
VINS DE TABLES/PAYS,VINS DE PAYS ROUGES
DIGESTIFS,COGNACS ET ARMAGNACS
VINS DE TABLES/PAYS,VINS DE TABLE ROUGES
VQPRD ROUGES/HORS BORDEAUX,VINS DU VAL DE LOIRE
CHAMPAGNES,CHAMPAGNES BRUTS
CIDRES,CIDRES/PETILLANTS
APERITIFS,ANISES
VQPRD BORDEAUX ROUGES,BORDEAUX GENERIQUE
VQPRD BORDEAUX ROUGES,BORDEAUX SUPERIEUR
BIERES ET PANACHES,BIERES DE TRADITION
APERITIFS,SANS ALCOOL
APERITIFS,A BASE DE VIN
SIROPS,AUTRES FRUITS
SNACKING VINS,SNACKING VINS
VINS FINS/ETRANGERS,VINS ETRANGERS
EAUX AROMATISEES,EAUX ARO PLATES
NON GAZEIFIES,BOISSON A BASE DE THE
VQPRD ROSES,VINS DE PROVENCE-CORSE
ALCOOLS,RHUMS ET SIROPS DE CANNE
VQPRD ROUGES/HORS BORDEAUX,VINS DE JURA-SAVOIE
VINS DE TABLES/PAYS,VINS DE PAYS BLANCS
VQPRD ROSES,VINS DU VAL DE LOIRE
VQPRD BORDEAUX ROUGES,MEDOC/HAUT MEDOC
VQPRD BLANCS,BORDEAUX MOELLEUX
GAZEIFIES,COLAS
GAZEIFIES,SODAS
VQPRD BORDEAUX ROUGES,LIBOURNAIS
MOUSSEUX/VINS PETILL.,MOUSSEUX-VINS PETILLANTS
NON GAZEIFIES,JUS ET NECTARS A L'ORANGE
VINS DE TABLES/PAYS,VINS DE TABLE ROSES
VQPRD BLANCS,VINS DU VAL DE LOIRE
VQPRD BORDEAUX ROUGES,GRAVES
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST
ALCOOLS,WHISKEYS IRLANDAIS
VQPRD BORDEAUX ROUGES,GRANDS CRUS
SIROPS,FRUITS ROUGES
SNACKING EAUX,SNACKING EAUX
VQPRD BLANCS,VINS D ALSACE
VQPRD BLANCS,COTES DU RHONE
DIGESTIFS,FRUITS A L'EAU DE VIE
APERITIFS,AMERS - GENTIANE ET BITTERS
GAZEIFIES,BASE EXTRAIT NATUREL DE FRUITS
ALCOOLS,LIQUEUR MODERNE ET TRADITIONEL
