product_category,pdt_SUB_CATEGORY,barcode_ean13,site_key,DATE,CA
APERITIFS,SANS ALCOOL,f_f_0327607249893,f_f_8429768983288,2023-03-08,37.57
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_4371089866174,f_f_8429768983288,2023-10-15,11.79
ALCOOLS,PUNCHS,f_f_2239755478262,f_f_8429768983288,2023-08-13,31.95
ALCOOLS,GIN-VODKA-TEQUILA,f_f_6023176352753,f_f_8429768983288,2023-06-20,22.36
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_2550597061567,f_f_8429768983288,2023-05-22,34.23
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_2839093842420,f_f_8429768983288,2023-09-15,14.61
APERITIFS,AMERS - GENTIANE ET BITTERS,f_f_8109233571027,f_f_8429768983288,2023-05-18,31.09
VINS DE TABLES/PAYS,VINS DE PAYS ROUGES,f_f_2247117045939,f_f_8429768983288,2023-07-16,34.52
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_4810685642435,f_f_8429768983288,2023-10-09,24.41
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_2280717054871,f_f_8429768983288,2023-03-30,50.28
APERITIFS,CREMES DE FRUITS,f_f_6937327706381,f_f_8429768983288,2023-06-18,16.22
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_7312699802654,f_f_8429768983288,2023-09-12,31.24
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_9125754467167,f_f_8429768983288,2023-07-20,10.62
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_2897734478384,f_f_8429768983288,2023-04-17,8.06
VQPRD BORDEAUX ROUGES,BORDEAUX GENERIQUE,f_f_5781902215260,f_f_8429768983288,2023-06-14,37.15
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_3376735531643,f_f_8429768983288,2023-03-18,17.81
VQPRD BLANCS,VINS D ALSACE,f_f_8257827886542,f_f_8429768983288,2023-01-12,28.7
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_3044710621954,f_f_8429768983288,2023-01-05,21.48
EAUX AROMATISEES,EAUX ARO PLATES,f_f_2039757352818,f_f_8429768983288,2023-07-18,2.72
VQPRD ROSES,BORDEAUX,f_f_9230225841978,f_f_8429768983288,2023-06-21,44.88
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_3997720638606,f_f_8429768983288,2023-06-14,21.34
VINS DE TABLES/PAYS,VINS DE TABLE ROUGES,f_f_0564942343484,f_f_8429768983288,2023-03-17,42.37
APERITIFS,CREMES DE FRUITS,f_f_5296726230578,f_f_8429768983288,2023-05-25,44.38
ALCOOLS,GIN-VODKA-TEQUILA,f_f_2001632384368,f_f_8429768983288,2023-01-10,27.03
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_6969221636488,f_f_8429768983288,2023-06-26,36.02
APERITIFS,AMERS - GENTIANE ET BITTERS,f_f_5549496047847,f_f_8429768983288,2023-06-02,7.42
ALCOOLS,GIN-VODKA-TEQUILA,f_f_8764119062718,f_f_8429768983288,2023-03-17,46.01
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_1155966764608,f_f_8429768983288,2023-08-23,8.57
APERITIFS,SANS ALCOOL,f_f_3401587821298,f_f_8429768983288,2023-08-22,19.17
EAUX PLATES,EAUX PLATES,f_f_6143153564143,f_f_8429768983288,2023-03-07,26.35
ALCOOLS,GIN-VODKA-TEQUILA,f_f_4533204964671,f_f_8429768983288,2023-08-27,4.25
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_9429432540051,f_f_8429768983288,2023-04-04,16.77
APERITIFS,CREMES DE FRUITS,f_f_6390498079065,f_f_8429768983288,2023-08-16,32.54
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_2535330340796,f_f_8429768983288,2023-05-17,21.06
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_2950170280758,f_f_8429768983288,2023-10-02,48.53
