product_category,pdt_SUB_CATEGORY,barcode_ean13,site_key,DATE,CA
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-03-02,38.53
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-04-29,33.96
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-07-13,1.17
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-08-22,13.17
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-07-24,22.15
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-04-16,11.09
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-04-09,27.71
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-03-23,14.35
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-02-25,6.13
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-10-13,34.27
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-05-20,36.63
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-07-09,9.08
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-05-08,46.93
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-02-17,35.66
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-08-24,26.12
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-06-12,37.77
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-07-04,35.09
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-09-09,19.41
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-08-16,25.82
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-09-27,36.66
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-07-19,25.81
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-02-09,18.89
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-05-14,26.86
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-10-20,18.28
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-01-02,14.66
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-01-24,37.7
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-06-01,6.68
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-04-21,5.93
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-07-05,10.64
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-04-16,41.59
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-03-07,7.08
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-05-29,4.92
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-04-10,44.55
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-05-28,29.85
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-01-09,26.83
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-05-27,7.64
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-04-24,28.3
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-05-23,2.81
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-03-29,50.77
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-04-05,49.11
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-05-18,10.33
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-09-20,35.2
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-06-05,21.18
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-04-16,28.1
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-09-29,35.31
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-06-15,43.06
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-01-03,41.46
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-04-27,9.27
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-02-25,40.53
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-04-23,18.58
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-03-08,42.95
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-01-13,6.32
ALCOOLS,PUNCHS,f_5984795796339,f_3347896374578,2023-09-29,25.87
