product_category,pdt_SUB_CATEGORY,barcode_ean13,site_key,DATE,CA
ALCOOLS,PUNCHS,f_f_9014485190256,f_f_5124682187813,2023-07-24,29.11
CHAMPAGNES,CHAMPAGNES BRUTS,f_f_7126907014919,f_f_5124682187813,2023-07-27,9.4
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_0138718827005,f_f_5124682187813,2023-10-10,44.11
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_4408164995112,f_f_5124682187813,2023-09-03,36.74
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_3909624351406,f_f_5124682187813,2023-09-12,33.33
SNACKING SOFTS DRINKS,SNACKING SOFTS DRINKS,f_f_2710236534252,f_f_5124682187813,2023-01-08,25.91
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_0224060298188,f_f_5124682187813,2023-08-12,25.62
ALCOOLS,GIN-VODKA-TEQUILA,f_f_1104767954923,f_f_5124682187813,2023-08-31,30.23
CIDRES,CIDRES/PETILLANTS,f_f_0138612762730,f_f_5124682187813,2023-02-21,9.1
ALCOOLS,GIN-VODKA-TEQUILA,f_f_6276550583490,f_f_5124682187813,2023-05-04,5.0
APERITIFS,SANS ALCOOL,f_f_9276718645197,f_f_5124682187813,2023-08-16,25.56
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_8058741168307,f_f_5124682187813,2023-02-03,47.23
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_5257949954481,f_f_5124682187813,2023-06-29,26.72
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_4156448189381,f_f_5124682187813,2023-08-10,32.45
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_0508777221593,f_f_5124682187813,2023-07-08,36.67
CIDRES,CIDRES/PETILLANTS,f_f_0004685280559,f_f_5124682187813,2023-06-06,48.23
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_8755592946718,f_f_5124682187813,2023-04-10,47.1
VQPRD ROSES,SUD OUEST,f_f_1888715546940,f_f_5124682187813,2023-01-29,19.03
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_1588156662352,f_f_5124682187813,2023-06-23,9.44
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_5579124004478,f_f_5124682187813,2023-01-28,18.65
CIDRES,CIDRES/PETILLANTS,f_f_5935817419248,f_f_5124682187813,2023-05-23,19.48
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_1409261918465,f_f_5124682187813,2023-04-23,1.51
VQPRD ROSES,BORDEAUX,f_f_0869141314564,f_f_5124682187813,2023-07-19,39.44
APERITIFS,CREMES DE FRUITS,f_f_4329844811662,f_f_5124682187813,2023-05-30,3.29
ALCOOLS,GIN-VODKA-TEQUILA,f_f_2001632384368,f_f_5124682187813,2023-01-31,6.7
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_4887616353494,f_f_5124682187813,2023-08-22,9.97
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_9709736961203,f_f_5124682187813,2023-06-21,9.19
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_7155068298296,f_f_5124682187813,2023-09-17,5.33
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_8609880060528,f_f_5124682187813,2023-05-15,47.2
APERITIFS,CREMES DE FRUITS,f_f_0046894157956,f_f_5124682187813,2023-03-18,10.54
APERITIFS,SANS ALCOOL,f_f_9238082556868,f_f_5124682187813,2023-03-06,42.75
BIERES ET PANACHES,BIERES MODERNES,f_f_3907062319255,f_f_5124682187813,2023-06-30,47.56
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_6519149392227,f_f_5124682187813,2023-07-12,36.86
VQPRD BORDEAUX ROUGES,COTES DE BORDEAUX,f_f_3459326894416,f_f_5124682187813,2023-07-26,18.01
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_2684441481017,f_f_5124682187813,2023-03-08,11.48
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_1711605772146,f_f_5124682187813,2023-08-19,9.44
ALCOOLS,LIQUEUR MODERNE ET TRADITIONEL,f_f_4932180654420,f_f_5124682187813,2023-05-08,22.79
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_8400502587580,f_f_5124682187813,2023-09-19,7.78
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_7601158006543,f_f_5124682187813,2023-07-06,7.81
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_4849268190575,f_f_5124682187813,2023-06-11,31.5
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_8306457184846,f_f_5124682187813,2023-03-29,12.12
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_5450258815027,f_f_5124682187813,2023-06-05,21.5
EAUX PLATES,EAUX PLATES,f_f_7260622335581,f_f_5124682187813,2023-08-16,30.38
SIROPS,AGRUMES,f_f_3464835650033,f_f_5124682187813,2023-05-29,21.04
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_5477495375930,f_f_5124682187813,2023-08-01,5.24
EAUX AROMATISEES,EAUX ARO GAZEUSE ET GAZEIFIEE,f_f_3810066426051,f_f_5124682187813,2023-04-19,14.41
NON GAZEIFIES,MELANGES DE FRUITS,f_f_9728457637785,f_f_5124682187813,2023-07-04,4.62
REMBOURSEMENT LIQUIDE,REMBOURSEMENT LIQUIDE,f_f_5130090209863,f_f_5124682187813,2023-05-24,34.58
APERITIFS,ANISES,f_f_2211519199521,f_f_5124682187813,2023-03-01,44.68
NON GAZEIFIES,MELANGES DE FRUITS,f_f_3893055508242,f_f_5124682187813,2023-07-03,4.1
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_1906079386641,f_f_5124682187813,2023-09-03,1.74
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_1323854096340,f_f_5124682187813,2023-08-09,34.28
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_6104986893565,f_f_5124682187813,2023-08-02,23.27
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_2216188917094,f_f_5124682187813,2023-02-25,10.95
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_3117957768239,f_f_5124682187813,2023-09-12,38.05
APERITIFS,CREMES DE FRUITS,f_f_2583945365864,f_f_5124682187813,2023-08-02,30.05
ALCOOLS,GIN-VODKA-TEQUILA,f_f_5829523518084,f_f_5124682187813,2023-05-26,46.42
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_1379495997195,f_f_5124682187813,2023-04-30,1.35
VQPRD ROSES,BORDEAUX,f_f_1510903217300,f_f_5124682187813,2023-06-12,18.48
APERITIFS,ANISES,f_f_7473593300971,f_f_5124682187813,2023-07-03,26.47
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_5281126045044,f_f_5124682187813,2023-05-27,5.53
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_3237227167446,f_f_5124682187813,2023-03-25,46.58
APERITIFS,CREMES DE FRUITS,f_f_6588335397063,f_f_5124682187813,2023-10-23,41.06
APERITIFS,ANISES,f_f_5440911416203,f_f_5124682187813,2023-01-19,47.81
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_1302788860128,f_f_5124682187813,2023-01-07,6.95
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_9979677823254,f_f_5124682187813,2023-07-31,46.17
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_5856729196259,f_f_5124682187813,2023-09-27,43.19
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_3820914462681,f_f_5124682187813,2023-08-26,41.83
VQPRD ROUGES/HORS BORDEAUX,VINS DU BEAUJOLAIS,f_f_4258718835704,f_f_5124682187813,2023-07-22,44.91
ALCOOLS,GIN-VODKA-TEQUILA,f_f_7868086627930,f_f_5124682187813,2023-01-01,2.69
VQPRD ROSES,BORDEAUX,f_f_7840801609759,f_f_5124682187813,2023-10-21,19.28
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_2671937064106,f_f_5124682187813,2023-09-18,32.16
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_9398819111941,f_f_5124682187813,2023-01-13,49.85
VQPRD ROUGES/HORS BORDEAUX,VINS DU BEAUJOLAIS,f_f_8728924680130,f_f_5124682187813,2023-03-16,31.93
MOUSSEUX/VINS PETILL.,APPELATION-METHODE TRADITION,f_f_7259839399790,f_f_5124682187813,2023-04-03,20.79
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_6567305435943,f_f_5124682187813,2023-01-25,25.62
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_7860372657409,f_f_5124682187813,2023-04-17,36.46
SIROPS,AGRUMES,f_f_6010524987484,f_f_5124682187813,2023-09-15,18.37
APERITIFS,SANS ALCOOL,f_f_6167247628320,f_f_5124682187813,2023-06-07,6.07
ALCOOLS,PUNCHS,f_f_3470396535511,f_f_5124682187813,2023-07-05,42.02
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_8312938996631,f_f_5124682187813,2023-08-13,39.5
EAUX PLATES,EAUX PLATES,f_f_6593162516068,f_f_5124682187813,2023-05-13,27.98
ALCOOLS,PUNCHS,f_f_6435642299224,f_f_5124682187813,2023-01-11,40.77
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_7586077402617,f_f_5124682187813,2023-01-07,28.13
ALCOOLS,GIN-VODKA-TEQUILA,f_f_5887662138440,f_f_5124682187813,2023-01-08,7.28
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_3006093547467,f_f_5124682187813,2023-05-02,5.92
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_0660279934897,f_f_5124682187813,2023-03-24,29.59
VINS DE TABLES/PAYS,VINS DE PAYS BLANCS,f_f_4949163782216,f_f_5124682187813,2023-01-16,27.71
CIDRES,CIDRES/PETILLANTS,f_f_8592766086890,f_f_5124682187813,2023-03-17,44.23
APERITIFS,CREMES DE FRUITS,f_f_4128889960522,f_f_5124682187813,2023-01-18,10.15
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_8320229048563,f_f_5124682187813,2023-06-30,21.59
VINS DE TABLES/PAYS,VINS DE PAYS ROSES,f_f_2577816287256,f_f_5124682187813,2023-04-30,6.44
APERITIFS,AMERS - GENTIANE ET BITTERS,f_f_7419675693531,f_f_5124682187813,2023-01-20,31.79
VINS DE TABLES/PAYS,VINS DE PAYS ROSES,f_f_1192729010657,f_f_5124682187813,2023-10-14,35.23
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_9477176165009,f_f_5124682187813,2023-08-22,38.44
SIROPS,AGRUMES,f_f_3688712180103,f_f_5124682187813,2023-10-18,36.59
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_1688079389654,f_f_5124682187813,2023-04-13,46.04
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_8901020792246,f_f_5124682187813,2023-07-03,9.25
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_5374258988201,f_f_5124682187813,2023-04-23,50.8
VQPRD BORDEAUX ROUGES,GRANDS CRUS,f_f_6225531622581,f_f_5124682187813,2023-06-13,10.68
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_0023304876089,f_f_5124682187813,2023-10-03,47.96
VQPRD ROUGES/HORS BORDEAUX,VINS DU BEAUJOLAIS,f_f_5746264665344,f_f_5124682187813,2023-08-07,24.89
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_8429166659082,f_f_5124682187813,2023-09-14,10.86
APERITIFS,SANS ALCOOL,f_f_5799619880190,f_f_5124682187813,2023-06-12,10.28
VQPRD BLANCS,VINS D ALSACE,f_f_7833499262887,f_f_5124682187813,2023-03-28,49.31
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_0639333230923,f_f_5124682187813,2023-03-14,46.98
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_0196780069846,f_f_5124682187813,2023-06-15,16.2
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_5113632110926,f_f_5124682187813,2023-02-05,11.72
CIDRES,CIDRES/PETILLANTS,f_f_6018548398200,f_f_5124682187813,2023-04-11,27.23
CHAMPAGNES,CHAMPAGNES BRUTS,f_f_5855015792625,f_f_5124682187813,2023-08-01,35.05
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_5056192168610,f_f_5124682187813,2023-09-18,49.42
APERITIFS,SANS ALCOOL,f_f_1172734796265,f_f_5124682187813,2023-01-10,45.34
VINS DE TABLES/PAYS,VINS DE PAYS ROSES,f_f_6015542290318,f_f_5124682187813,2023-08-19,8.07
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_8822559542389,f_f_5124682187813,2023-07-11,16.9
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_6226009647303,f_f_5124682187813,2023-07-30,29.2
CIDRES,CIDRES/PETILLANTS,f_f_5307163971938,f_f_5124682187813,2023-01-21,48.85
ALCOOLS,GIN-VODKA-TEQUILA,f_f_7543226455191,f_f_5124682187813,2023-08-09,31.1
ALCOOLS,GIN-VODKA-TEQUILA,f_f_1792891450093,f_f_5124682187813,2023-08-19,40.69
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_3075059016187,f_f_5124682187813,2023-02-02,6.03
ALCOOLS,GIN-VODKA-TEQUILA,f_f_1003952455767,f_f_5124682187813,2023-09-04,31.71
APERITIFS,SANS ALCOOL,f_f_1766014912027,f_f_5124682187813,2023-05-11,26.3
ALCOOLS,PUNCHS,f_f_6092724625014,f_f_5124682187813,2023-06-05,20.03
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_1084830409409,f_f_5124682187813,2023-03-05,11.97
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_8495834842834,f_f_5124682187813,2023-03-18,39.68
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_3639274883537,f_f_5124682187813,2023-04-04,40.53
VQPRD ROUGES/HORS BORDEAUX,VINS DU BEAUJOLAIS,f_f_4205052820477,f_f_5124682187813,2023-10-13,19.1
APERITIFS,CREMES DE FRUITS,f_f_9304641890022,f_f_5124682187813,2023-03-27,2.87
APERITIFS,SANS ALCOOL,f_f_3554457195385,f_f_5124682187813,2023-01-31,47.91
CIDRES,CIDRES/PETILLANTS,f_f_7778215862241,f_f_5124682187813,2023-08-11,4.5
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_3850617230379,f_f_5124682187813,2023-02-14,19.51
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_6483266962536,f_f_5124682187813,2023-03-15,21.28
ALCOOLS,GIN-VODKA-TEQUILA,f_f_5136123437357,f_f_5124682187813,2023-04-25,20.96
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_1226198672020,f_f_5124682187813,2023-06-26,35.29
ALCOOLS,COCKTAILS,f_f_2794372475877,f_f_5124682187813,2023-04-07,20.68
ALCOOLS,GIN-VODKA-TEQUILA,f_f_0358685677674,f_f_5124682187813,2023-09-01,49.21
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_7566909520863,f_f_5124682187813,2023-07-14,13.66
SIROPS,AGRUMES,f_f_4802362382925,f_f_5124682187813,2023-03-24,32.1
ALCOOLS,GIN-VODKA-TEQUILA,f_f_7885658727850,f_f_5124682187813,2023-02-23,31.23
ALCOOLS,LIQUEUR MODERNE ET TRADITIONEL,f_f_7671683371966,f_f_5124682187813,2023-02-06,18.78
NON GAZEIFIES,MELANGES DE FRUITS,f_f_1620766075419,f_f_5124682187813,2023-05-20,23.9
APERITIFS,SANS ALCOOL,f_f_9027375957587,f_f_5124682187813,2023-01-04,32.13
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_4941682157971,f_f_5124682187813,2023-04-23,7.06
ALCOOLS,GIN-VODKA-TEQUILA,f_f_1829848457291,f_f_5124682187813,2023-10-05,6.96
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_5883165155663,f_f_5124682187813,2023-01-22,2.96
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_4228121822578,f_f_5124682187813,2023-05-21,36.73
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_9271969369434,f_f_5124682187813,2023-10-02,19.61
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_7641328672284,f_f_5124682187813,2023-05-24,4.57
ALCOOLS,GIN-VODKA-TEQUILA,f_f_5191550566223,f_f_5124682187813,2023-06-13,29.74
ALCOOLS,GIN-VODKA-TEQUILA,f_f_0341973669444,f_f_5124682187813,2023-02-19,48.73
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_0307545264684,f_f_5124682187813,2023-04-05,30.02
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_9938749933932,f_f_5124682187813,2023-03-04,6.59
NON GAZEIFIES,BOISSONS CHOCOLATEES,f_f_6653742450653,f_f_5124682187813,2023-02-16,34.79
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_6437117760680,f_f_5124682187813,2023-08-14,12.46
EAUX PLATES,EAUX PLATES,f_f_0468936086954,f_f_5124682187813,2023-08-22,26.72
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_3503213845729,f_f_5124682187813,2023-03-18,13.8
VQPRD ROSES,ALSACE,f_f_6352471544885,f_f_5124682187813,2023-08-30,44.57
VINS DE TABLES/PAYS,VINS DE PAYS BLANCS,f_f_2074911279419,f_f_5124682187813,2023-05-10,16.17
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_0099475665401,f_f_5124682187813,2023-02-06,5.54
APERITIFS,ANISES,f_f_7059677263259,f_f_5124682187813,2023-05-03,19.7
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_1507412372071,f_f_5124682187813,2023-06-08,40.68
APERITIFS,CREMES DE FRUITS,f_f_6090390213863,f_f_5124682187813,2023-04-24,27.27
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_3126672012480,f_f_5124682187813,2023-09-17,45.79
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_2408501810278,f_f_5124682187813,2023-04-04,21.22
CIDRES,CIDRES/PETILLANTS,f_f_3541340896726,f_f_5124682187813,2023-02-06,39.39
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_6967811365244,f_f_5124682187813,2023-05-25,10.69
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_9454952736134,f_f_5124682187813,2023-02-26,32.63
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_1125956161816,f_f_5124682187813,2023-04-20,5.69
APERITIFS,CREMES DE FRUITS,f_f_5114470163440,f_f_5124682187813,2023-01-30,44.31
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_3689219364348,f_f_5124682187813,2023-06-26,12.8
ALCOOLS,PUNCHS,f_f_4001697859588,f_f_5124682187813,2023-08-10,1.3
BIERES ET PANACHES,BIERES MODERNES,f_f_4040092526398,f_f_5124682187813,2023-09-27,3.91
VQPRD ROSES,BEAUJOLAIS BOURGOGNE,f_f_1925087101053,f_f_5124682187813,2023-03-10,26.26
VQPRD ROUGES/HORS BORDEAUX,VINS DU SUD OUEST,f_f_2947643877812,f_f_5124682187813,2023-05-24,21.71
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_7716370875478,f_f_5124682187813,2023-03-25,49.38
ALCOOLS,GIN-VODKA-TEQUILA,f_f_5969912307674,f_f_5124682187813,2023-07-25,6.39
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_2213620292740,f_f_5124682187813,2023-09-03,39.27
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_6850266402933,f_f_5124682187813,2023-08-25,31.4
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_5023404554219,f_f_5124682187813,2023-03-19,28.06
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_5774641901976,f_f_5124682187813,2023-10-19,22.16
CHAMPAGNES,CHAMPAGNES BRUTS,f_f_2660123364519,f_f_5124682187813,2023-06-06,36.32
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_1448948850339,f_f_5124682187813,2023-07-07,49.62
VQPRD ROUGES/HORS BORDEAUX,VINS DES COTES DU RHONE,f_f_2149828740182,f_f_5124682187813,2023-07-14,9.27
NON GAZEIFIES,JUS DE POMME ET DE RAISIN,f_f_2622839824534,f_f_5124682187813,2023-05-09,19.25
VINS DE TABLES/PAYS,VINS DE TABLE BLANCS,f_f_9484698079936,f_f_5124682187813,2023-07-08,14.02
ALCOOLS,PUNCHS,f_f_3139419543475,f_f_5124682187813,2023-02-11,18.76
DIGESTIFS,FRUITS A L'EAU DE VIE,f_f_6188319100957,f_f_5124682187813,2023-05-05,34.78
APERITIFS,ANISES,f_f_2424864223838,f_f_5124682187813,2023-06-13,23.84
